Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
52818,2019,1,2,0,723.0,2809.0,-13.1,-21.1,280.0,3.08664
52818,2019,1,2,0,700.0,3061.0,-4.9,-19.9,260.0,5.1444
52818,2019,1,2,0,500.0,5650.0,-21.7,-36.7,280.0,15.9476
52818,2019,1,2,0,400.0,7240.0,-35.3,-45.3,280.0,27.7798
52818,2019,1,2,0,300.0,9180.0,-49.5,-59.5,300.0,33.953
52818,2019,1,2,0,272.0,9820.0,-53.7,-63.7,290.0,40.1263
52818,2019,1,2,0,250.0,10370.0,-49.9,-59.9,280.0,41.1552
52818,2019,1,2,0,200.0,11810.0,-52.7,-63.7,265.0,46.814
52818,2019,1,2,0,165.0,13040.0,-56.7,-67.0,270.0,48.8718
52818,2019,1,2,0,150.0,13650.0,-58.7,-68.7,275.0,46.814
52818,2019,1,2,0,100.0,16170.0,-65.9,,275.0,31.8953
52818,2019,1,2,0,94.2,16532.0,-67.9,,270.0,29.8375
52818,2019,1,2,0,70.0,18340.0,-64.1,,275.0,24.1787
52818,2019,1,2,0,50.0,20400.0,-64.3,,265.0,25.2076
52818,2019,1,2,0,30.0,23520.0,-63.7,,,
