Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
53068,2019,1,2,0,917.0,966.0,-21.9,-26.3,80.0,2.05776
53068,2019,1,2,0,910.0,1022.0,-21.9,-26.0,101.0,2.05776
53068,2019,1,2,0,900.0,1103.0,-21.1,-23.2,132.0,2.5722
53068,2019,1,2,0,895.0,1144.0,-17.1,-18.6,148.0,2.5722
53068,2019,1,2,0,880.0,1271.0,-13.5,-17.0,195.0,3.08664
53068,2019,1,2,0,855.0,1488.0,-14.3,-18.8,200.0,5.1444
53068,2019,1,2,0,850.0,1532.0,-14.5,-19.2,205.0,5.1444
53068,2019,1,2,0,836.0,1658.0,-15.1,-21.1,218.0,4.62996
53068,2019,1,2,0,815.0,1850.0,-15.5,-17.3,237.0,4.11552
53068,2019,1,2,0,801.0,1980.0,-16.1,-17.8,250.0,4.11552
53068,2019,1,2,0,700.0,2990.0,-20.3,-21.8,275.0,10.8032
53068,2019,1,2,0,697.0,3022.0,-20.5,-22.0,275.0,10.8032
53068,2019,1,2,0,696.0,3033.0,-20.2,-21.6,275.0,10.8032
53068,2019,1,2,0,690.0,3097.0,-18.1,-19.5,276.0,11.3177
53068,2019,1,2,0,666.0,3362.0,-18.3,-22.5,278.0,13.3754
53068,2019,1,2,0,628.0,3799.0,-21.5,-23.7,281.0,16.9765
53068,2019,1,2,0,609.0,4025.0,-23.1,-30.1,283.0,18.5198
53068,2019,1,2,0,544.0,4839.0,-29.6,-33.9,290.0,25.2076
53068,2019,1,2,0,524.0,5109.0,-31.7,-35.2,288.0,25.2076
53068,2019,1,2,0,515.0,5232.0,-32.3,-41.3,287.0,25.722
53068,2019,1,2,0,500.0,5440.0,-33.7,-44.7,285.0,26.2364
53068,2019,1,2,0,489.0,5595.0,-34.7,-46.7,284.0,26.7509
53068,2019,1,2,0,409.0,6818.0,-42.7,-54.7,280.0,31.8953
53068,2019,1,2,0,400.0,6970.0,-43.7,-55.7,280.0,31.8953
53068,2019,1,2,0,300.0,8850.0,-55.1,-66.1,280.0,28.8086
53068,2019,1,2,0,297.0,8914.0,-55.5,-66.5,280.0,27.7798
53068,2019,1,2,0,250.0,10020.0,-52.5,-63.5,280.0,31.8953
53068,2019,1,2,0,200.0,11460.0,-50.3,-62.3,280.0,30.8664
53068,2019,1,2,0,191.0,11762.0,-49.9,-62.9,279.0,31.3808
53068,2019,1,2,0,160.0,12911.0,-53.6,-65.8,275.0,32.9242
53068,2019,1,2,0,150.0,13330.0,-54.9,-66.9,280.0,32.9242
53068,2019,1,2,0,139.0,13815.0,-55.7,-67.7,280.0,32.4097
53068,2019,1,2,0,101.0,15818.0,-61.1,,280.0,29.8375
53068,2019,1,2,0,100.0,15880.0,-60.9,,280.0,29.8375
53068,2019,1,2,0,74.3,17721.0,-62.9,,289.0,29.3231
53068,2019,1,2,0,72.0,17916.0,-62.4,,290.0,28.8086
53068,2019,1,2,0,70.0,18090.0,-61.9,,290.0,28.8086
53068,2019,1,2,0,52.8,19848.0,-59.3,,282.0,25.722
53068,2019,1,2,0,50.0,20190.0,-59.3,,280.0,25.2076
53068,2019,1,2,0,37.5,21999.0,-57.3,,272.0,26.7509
53068,2019,1,2,0,35.0,22431.0,-59.6,,270.0,26.7509
53068,2019,1,2,0,34.1,22594.0,-60.5,,270.0,26.2364
53068,2019,1,2,0,30.0,23400.0,-55.9,,270.0,22.1209
53068,2019,1,2,0,29.0,23617.0,-53.7,,270.0,20.0632
53068,2019,1,2,0,24.2,24773.0,-56.5,,251.0,18.0054
53068,2019,1,2,0,24.0,24826.0,-56.4,,250.0,18.0054
53068,2019,1,2,0,20.0,25990.0,-54.3,,250.0,14.9188
53068,2019,1,2,0,18.0,26671.0,-52.7,,250.0,9.77436
53068,2019,1,2,0,17.0,27040.0,-51.8,,245.0,9.77436
53068,2019,1,2,0,16.4,27272.0,-51.3,,239.0,9.77436
53068,2019,1,2,0,14.0,28302.0,-51.2,,215.0,8.74548
53068,2019,1,2,0,11.5,29582.0,-51.1,,224.0,7.7166
53068,2019,1,2,0,10.0,30500.0,-47.1,,230.0,7.20216
53068,2019,1,2,0,9.7,30702.0,-45.3,,235.0,6.17328
53068,2019,1,2,0,8.0,31988.0,-44.2,,270.0,2.05776
53068,2019,1,2,0,7.0,32880.0,-43.5,,130.0,2.05776
53068,2019,1,2,0,6.6,33279.0,-42.7,,128.0,2.5722
53068,2019,1,2,0,6.0,33938.0,-39.6,,125.0,4.11552
53068,2019,1,2,0,5.0,35200.0,-33.7,,215.0,2.05776
53068,2019,1,2,0,4.5,35944.0,-29.9,,,
