Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
56739,2019,1,1,0,835.0,1649.0,4.6,3.7,115.0,1.02888
56739,2019,1,1,0,700.0,3138.0,-0.7,-2.1,215.0,7.20216
56739,2019,1,1,0,500.0,5770.0,-10.3,-33.3,260.0,27.7798
56739,2019,1,1,0,400.0,7460.0,-19.1,-40.1,270.0,43.213
56739,2019,1,1,0,300.0,9540.0,-34.9,-52.9,270.0,54.0162
56739,2019,1,1,0,255.0,10663.0,-40.6,-57.7,270.0,57.1028
56739,2019,1,1,0,250.0,10800.0,-41.3,-58.3,270.0,57.1028
56739,2019,1,1,0,200.0,12280.0,-52.3,-68.3,255.0,49.9007
56739,2019,1,1,0,150.0,14080.0,-63.7,,255.0,51.9584
56739,2019,1,1,0,100.0,16480.0,-76.3,,270.0,33.953
56739,2019,1,1,0,88.7,17168.0,-78.5,,265.0,30.8664
56739,2019,1,1,0,70.0,18530.0,-75.1,,275.0,24.1787
56739,2019,1,1,0,50.0,20500.0,-70.1,,285.0,9.77436
56739,2019,1,1,0,30.0,23580.0,-63.5,,280.0,9.77436
56739,2019,1,1,0,20.0,26110.0,-56.3,,240.0,5.1444
